ticker,tdate,err,dps,dps1,fx,m2gdp,eps,eps1,roa,icr,growthvalue,ivol
NKY,2006-03-31,28.0,10.16,10.01,79.4068,33.728287,54.295,5.683,1.4113953,10.916056,298.69482,17.7
NKY,2006-04-28,34.0,10.315,10.117,80.7293,33.735893,54.573,5.722,1.4193769,11.026107,294.05573,16.85
NKY,2006-05-31,54.0,10.733,11.144,81.9328,33.756874,54.924,5.218,1.7848704,11.336466,266.7167,22.63
NKY,2006-06-30,-101.0,10.7,11.14,80.5258,33.692127,55.64,4.882,1.7965432,11.340737,270.4651,21.49
NKY,2006-07-31,-38.0,10.837,11.191,80.3899,33.68181,55.74,4.926,1.8010408,11.382405,267.99664,21.68
NKY,2006-08-31,117.0,10.943,11.334,78.3181,33.633873,57.171,5.169,1.8326558,11.950138,276.9737,18.12
NKY,2006-09-29,132.0,11.079,11.389,77.929,33.580784,58.023,5.412,1.8349273,11.853563,273.0672,16.66
NKY,2006-10-31,30.0,11.197,11.501,78.3106,33.615936,57.901,5.486,1.8375831,11.877941,273.86282,16.18
NKY,2006-11-30,52.0,11.442,11.94,78.1368,33.687416,58.995,5.938,1.8074765,11.610881,269.46936,16.01
NKY,2006-12-29,35.0,11.581,11.867,75.7989,33.783943,59.208,6.055,1.8058134,11.54229,280.3185,13.54
NKY,2007-01-31,75.0,11.747,11.899,74.7949,33.831898,60.095,5.8,1.8042448,11.572786,286.00955,15.77
NKY,2007-02-28,97.0,11.91,12.08,76.0802,33.8877,60.797,5.528,1.7661405,11.490251,287.7088,17.97
NKY,2007-03-30,47.0,12.128,12.194,76.1301,33.850277,62.093,5.753,1.7626871,11.480581,280.5308,16.15
NKY,2007-04-30,-27.0,11.947,12.269,74.3121,33.898327,61.866,5.657,1.7664654,11.465105,279.94138,15.01
NKY,2007-05-31,-126.0,12.997,13.61,72.7839,33.94793,62.246,5.404,1.8014668,11.527485,292.37515,15.4
NKY,2007-06-29,33.0,13.054,13.516,71.5071,33.882675,62.175,5.018,1.8008304,11.4016485,295.96997,15.35
NKY,2007-07-31,66.0,13.21,13.511,73.5266,33.946712,62.757,5.137,1.7984375,11.402193,287.29904,20.46
NKY,2007-08-31,27.0,13.449,13.626,76.1993,34.000153,63.913,5.584,1.7385194,11.682292,271.8572,24.62
