,BOND,CANA,BUND,GILT,JGB
1998-12-23,4.7970 ,5.0030 ,3.9080 ,4.4190 ,1.9400 
1998-12-24,4.8500 ,5.0640 ,3.9120 ,4.4370 ,2.0770 
1998-12-25,4.8480 ,5.0640 ,3.9140 ,4.4380 ,1.9540 
1998-12-28,4.7530 ,5.0640 ,3.9270 ,4.4380 ,1.9230 
1998-12-29,4.6780 ,4.9400 ,3.8910 ,4.4100 ,2.0830 
1998-12-30,4.6420 ,4.9100 ,3.8710 ,4.3620 ,2.2180 
1998-12-31,4.6480 ,4.9090 ,3.8660 ,4.3610 ,2.2180 
1999-01-01,4.6540 ,4.9080 ,3.8670 ,4.3610 ,2.2180 
1999-01-04,4.6750 ,4.9180 ,3.7860 ,4.3050 ,2.1900 
1999-01-05,4.7430 ,4.9510 ,3.7940 ,4.3440 ,2.1290 
1999-01-06,4.7070 ,4.9280 ,3.7170 ,4.3200 ,2.0390 
1999-01-07,4.7710 ,4.9620 ,3.7450 ,4.2790 ,1.8350 
1999-01-08,4.8700 ,5.0120 ,3.7270 ,4.2550 ,1.8810 
1999-01-11,4.9250 ,5.0700 ,3.7880 ,4.3020 ,1.8060 
1999-01-12,4.8160 ,5.0250 ,3.7730 ,4.3620 ,1.8260 
1999-01-13,4.7050 ,4.9610 ,3.7070 ,4.2800 ,1.7980 
1999-01-14,4.6100 ,4.9250 ,3.6780 ,4.2540 ,1.7450 
1999-01-15,4.6850 ,4.9620 ,3.6940 ,4.2840 ,1.7450 
1999-01-18,4.6730 ,4.9790 ,3.6720 ,4.2960 ,1.8190 
1999-01-19,4.7130 ,5.0070 ,3.6610 ,4.2990 ,1.9350 
1999-01-20,4.7470 ,5.0260 ,3.6900 ,4.2690 ,1.8770 
1999-01-21,4.6790 ,4.9790 ,3.6620 ,4.2020 ,1.8870 
1999-01-22,4.6230 ,4.9490 ,3.6380 ,4.1430 ,1.8310 
1999-01-25,4.6610 ,4.9360 ,3.6390 ,4.1210 ,1.8760 
1999-01-26,4.6930 ,4.9360 ,3.6400 ,4.0970 ,1.8230 
1999-01-27,4.6730 ,4.9120 ,3.6400 ,4.1090 ,1.9090 
1999-01-28,4.6590 ,4.9100 ,3.6410 ,4.1260 ,1.9600 
1999-01-29,4.6510 ,4.8980 ,3.6320 ,4.0980 ,2.0700 
1999-02-01,4.7530 ,4.9820 ,3.6730 ,4.1350 ,2.1170 
1999-02-02,4.7980 ,5.0280 ,3.6890 ,4.1430 ,2.3880 
1999-02-03,4.8260 ,5.0520 ,3.7270 ,4.1850 ,2.4210 
1999-02-04,4.8770 ,5.0670 ,3.8090 ,4.2650 ,2.2740 
1999-02-05,4.9410 ,5.0990 ,3.7810 ,4.2410 ,2.4710 
1999-02-08,4.9200 ,5.0800 ,3.8380 ,4.3200 ,2.2710 
1999-02-09,4.8810 ,5.0600 ,3.7930 ,4.2760 ,2.1090 
