,BOND,CANA,BUND,GILT,JGB
43082,124.0313 ,135.5400 ,160.5300 ,123.8400 ,150.6300 
43083,123.9844 ,135.3700 ,160.4900 ,124.2500 ,150.6000 
43084,123.8438 ,135.6500 ,160.7300 ,124.4300 ,150.6100 
43087,123.6563 ,135.3700 ,160.6600 ,124.5400 ,150.7000 
43088,123.1094 ,134.5000 ,159.6600 ,123.9300 ,150.6800 
43089,122.8750 ,133.9800 ,159.0300 ,123.3300 ,150.4800 
43090,122.9375 ,133.5300 ,159.0000 ,123.3400 ,150.4200 
43091,122.8906 ,133.4800 ,159.0600 ,123.5700 ,150.5000 
43094,122.8906 ,133.4800 ,159.0600 ,123.5700 ,150.5900 
43095,123.0469 ,133.4800 ,159.0600 ,123.5700 ,150.5200 
43096,123.4063 ,133.9600 ,159.5700 ,124.3000 ,150.4100 
43097,123.2656 ,133.4900 ,159.0800 ,124.0300 ,150.4400 
43098,123.4688 ,133.3100 ,158.9700 ,124.1200 ,150.5000 
43101,123.4688 ,133.3100 ,158.9700 ,124.1200 ,150.5000 
43102,123.1094 ,132.9500 ,158.5700 ,123.1900 ,150.5000 
43103,123.2031 ,133.3400 ,158.8700 ,123.8500 ,150.5000 
43104,123.0938 ,132.9600 ,158.8800 ,123.6200 ,150.4500 
43105,122.9375 ,132.1300 ,158.8800 ,123.6200 ,150.4400 
43108,122.9063 ,132.2200 ,159.0900 ,123.7700 ,150.4400 
43109,122.4688 ,131.8300 ,158.5900 ,123.2500 ,150.3500 
43110,122.4219 ,132.4600 ,158.3700 ,123.0900 ,150.0700 
43111,122.5469 ,132.1900 ,157.6200 ,122.8200 ,150.2000 
43112,122.3594 ,132.1200 ,157.6900 ,122.5800 ,150.2000 
43115,122.3594 ,131.9700 ,157.6500 ,122.7300 ,150.1900 
43116,122.4063 ,131.9900 ,158.0700 ,122.9000 ,150.1500 
43117,122.0781 ,131.9100 ,158.1200 ,122.9600 ,150.0300 
43118,121.8750 ,131.5700 ,157.8900 ,122.6000 ,150.0900 
43119,121.7188 ,131.5300 ,157.9700 ,122.5800 ,150.1000 
43122,121.5313 ,131.3600 ,158.0400 ,122.4200 ,150.0900 
43123,121.8438 ,131.5200 ,158.1000 ,122.4100 ,150.1900 
43124,121.6406 ,131.1800 ,157.7100 ,121.8400 ,150.1300 
43125,121.8594 ,131.4400 ,157.3700 ,121.8300 ,150.0600 
43126,121.5000 ,131.2000 ,157.1100 ,121.6100 ,150.1400 
43129,121.2500 ,131.0200 ,156.0500 ,121.4000 ,150.0300 
43130,121.0781 ,130.8300 ,156.2400 ,121.3700 ,149.8900 
43131,121.0156 ,130.7900 ,156.1600 ,121.1300 ,150.0400 
43132,120.6563 ,129.9700 ,155.9400 ,120.7900 ,149.9200 
43133,120.1719 ,129.9800 ,155.2200 ,120.3400 ,150.0000 
