,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1992-06-18,-0.0028915405,-0.006958246,-0.0013459325,0.003712654,0.003791213,0.001919508,-0.017087042,-0.008722782,0.0016590357,-0.021719456,0.0004889965,0.0022038221,-0.0063424706,-0.005793512
1992-06-19,0.007249832,0.0060060024,0.0008956194,0.00032162666,-0.0052295923,0.0033527613,-0.027199984,-0.021998703,-0.00082814693,-0.00462538,-0.016862214,-0.006047249,0.01347518,0.0021469593
1992-06-22,-0.011036456,-0.01293534,0.0058164597,-0.0037371516,0.008177638,-0.0033416152,-0.016447365,-0.007069409,-0.012847066,0.01672852,0.0037286282,-0.0049779415,-0.00839746,-0.00612092
1992-06-23,0.0048519373,0.013104796,0.004893303,-0.0073460937,0.0023174286,0.0039275885,-0.015050113,-0.029450238,0.0134340525,0.0018281937,-0.0012382865,0.0072262287,-0.007762909,0.0027713776
1992-06-24,-0.0024142265,-0.0059701204,0.013280153,0.0077153444,-0.00491333,0.019465566,-0.00084894896,0.02562368,-0.007042229,-0.00456208,-0.0024796128,-0.002759397,-0.007823586,0.00030720234
1992-06-25,0.008228421,0.015015006,-0.01354301,-0.004999995,0.0008714199,0.007955909,-0.015293062,0.0059170723,0.014601588,0.0054996014,-0.004971385,0.010514736,0.002867341,-0.026247144
1992-06-26,0.0019203424,0.001972437,-0.0062001348,0.008165717,-0.002031386,-0.003250122,0.018119097,-0.0071895123,0.0,0.0018230677,-0.0069947243,0.0054764748,-0.0028591752,-0.0085119605
1992-06-29,-0.00856328,-0.010648608,-0.0089126825,-0.00046730042,0.003489375,0.028213501,-0.008474588,-0.0072416067,-0.0040882826,0.0060545206,0.008239746,-0.0037940145,0.0035436153,-0.016062975
1992-06-30,-0.004798472,-0.008806288,-0.028776944,-0.002493322,-0.0020284057,-0.009838462,-0.0068376064,0.006631255,-0.0053366423,-0.021063209,0.0049529076,-0.011969507,-0.004237294,-0.024647892
1992-07-01,0.0024108887,0.01776898,0.012037039,-0.011560738,0.0034843683,0.0013673306,0.022375226,0.021739125,-0.005777955,-0.04713112,0.0,-0.0016520023,-0.012056708,0.013784051
1992-07-02,-0.018278062,-0.017458797,0.010978937,0.004899621,0.005787015,0.019481063,0.010100961,0.018052816,-0.014113724,0.0,0.0004928112,-0.0071704388,-0.025125623,0.010844946
1992-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
